name,downloads,description,created_at,updated_at,documentation,homepage,repository,id
syn,1096229139,Parser for Rust source code,2016-09-07 15:22:40.491981+00,2025-08-16 00:34:01.909482+00,https://docs.rs/syn,,https://github.com/dtolnay/syn,6274
hashbrown,869905270,A Rust port of Google's SwissTable hash map,2018-10-29 14:28:15.767024+00,2025-08-29 11:55:49.044943+00,,,https://github.com/rust-lang/hashbrown,93342
bitflags,812882279,A macro to generate structures which behave like bitflags. ,2015-01-15 08:35:24.901276+00,2025-09-02 06:12:03.750699+00,https://docs.rs/bitflags,https://github.com/bitflags/bitflags,https://github.com/bitflags/bitflags,793
proc-macro2,756912885,A substitute implementation of the compiler's `proc_macro` API to decouple token-based libraries ...,2017-07-06 01:01:58.064887+00,2025-08-16 20:10:39.182331+00,https://docs.rs/proc-macro2,,https://github.com/dtolnay/proc-macro2,22124
quote,738759223,Quasi-quoting macro quote!(...),2016-09-03 05:42:05.484129+00,2025-09-29 01:09:34.45789+00,https://docs.rs/quote/,,https://github.com/dtolnay/quote,6224
base64,736585750,encodes and decodes base64 as bytes or utf8,2015-12-04 01:07:31.173829+00,2024-04-30 23:16:40.343739+00,https://docs.rs/base64,,https://github.com/marshallpierce/rust-base64,3569
libc,733722558,Raw FFI bindings to platform libraries like libc.,2015-01-15 20:22:13.100871+00,2025-09-23 11:00:57.646812+00,,,https://github.com/rust-lang/libc,795
rand_core,707866154,Core random number generator traits and tools for implementation. ,2017-09-14 12:02:18.709038+00,2025-03-01 14:01:08.459817+00,https://docs.rs/rand_core,https://rust-random.github.io/book,https://github.com/rust-random/rand,31712
regex-syntax,704295926,A regular expression parser.,2015-05-27 23:19:16.839117+00,2025-08-24 13:39:55.267706+00,https://docs.rs/regex-syntax,https://github.com/rust-lang/regex/tree/master/regex-syntax,https://github.com/rust-lang/regex,2233
rand,692557936,Random number generators and other randomness functionality. ,2015-02-03 06:17:14.147783+00,2025-09-11 07:11:18.682315+00,https://docs.rs/rand,https://rust-random.github.io/book,https://github.com/rust-random/rand,1339
